date,country,hp_cycle,cf_cycle,bk_cycle
1970-01-01,US,0.0012011501884252596,-0.1282988803824998,
1970-04-01,US,-0.0021893045880698736,-0.006346524935390452,
1970-07-01,US,0.001702489916563188,-0.003617877183090812,
1970-10-01,US,0.006086151298816844,-0.0010866485181697527,
1971-01-01,US,-0.0011517669010094878,-8.920890235319945e-05,
1971-04-01,US,-0.005268514987179174,-0.0008952945081062147,
1971-07-01,US,-0.004107623409634442,-0.002666172281634127,
1971-10-01,US,-0.00468232979644867,-0.004119911665557807,
1972-01-01,US,-0.004649304511068486,-0.0043599952297935785,
1972-04-01,US,-0.007560291460820601,-0.0032855009203891505,
1972-07-01,US,-0.004122128737709119,-0.0014067226760107743,
1972-10-01,US,-0.0007689292515760116,0.0006381406505643061,
1973-01-01,US,-0.00025922958180402134,0.002422500131509686,0.0013615130204188142
1973-04-01,US,0.004171914273001676,0.0037325352114455645,0.0033721498985743448
1973-07-01,US,0.0059466083327262,0.004398930781122079,0.004621071052455267
1973-10-01,US,0.002899351170835729,0.004257405043599394,0.0047958090398552145
1974-01-01,US,0.004459924730586096,0.0033347607612377317,0.004037984856680998
1974-04-01,US,0.001098298860750191,0.002052432349016975,0.0032633082705527117
1974-07-01,US,0.004702655957145474,0.0011509966366467506,0.0032451707612342617
1974-10-01,US,0.004999491978805004,0.0012703749542742893,0.003947462994361883
1975-01-01,US,0.00498036372478694,0.0024620274048827717,0.005115211815602538
1975-04-01,US,0.0030867033116672715,0.004036473403332075,0.006335959005946995
1975-07-01,US,0.008082830128698149,0.004924512223915156,0.007111153167145529
1975-10-01,US,0.008416134375564432,0.00433191435731789,0.006708436602837237
1976-01-01,US,0.00423195448311553,0.0022306342339279417,0.004717018096232317
1976-04-01,US,-0.0007646312017826062,-0.0006482014378662304,0.0016230928787333843
1976-07-01,US,-0.001027189303819398,-0.003280415467533132,-0.0015165157996896161
1976-10-01,US,-0.002295808553184564,-0.004917282535612383,-0.0036653403417651886
1977-01-01,US,-0.005588935686751562,-0.005378498453185776,-0.004392092899335537
1977-04-01,US,-0.009087582561043028,-0.0049481171626761244,-0.0041061058199958755
1977-07-01,US,-0.001591267947779862,-0.0040505042860572715,-0.0034481021857268868
1977-10-01,US,-0.0024358308795768835,-0.002989519476160052,-0.0028849007236487756
1978-01-01,US,-0.003620115846585392,-0.0019040380344378383,-0.0024607283192819296
1978-04-01,US,-0.0059944449446573955,-0.0008787059402233788,-0.00192831570294974
1978-07-01,US,-0.003927877697243787,-4.061076942796227e-05,-0.0012238283021568652
1978-10-01,US,-0.0001587270997056578,0.00046501560768680283,-0.0007518906112393697
1979-01-01,US,-0.0005318512238474682,0.000584206927875891,-0.0008157329420878101
1979-04-01,US,-0.0029660089370366904,0.0004289368177655961,-0.0012509058089955893
1979-07-01,US,-0.005532626699634058,0.00023339097997124303,-0.0015654954246243913
1979-10-01,US,-0.0033812772164178995,0.00021360143120491282,-0.0014849173918625447
1980-01-01,US,-0.0011120753004769668,0.0004303507549566765,-0.0010132135603583836
1980-04-01,US,0.0002569775333585156,0.0007516630328751354,-0.0003022682998403692
1980-07-01,US,-0.0017574251826770748,0.0009429748386950015,0.0002889128833837573
1980-10-01,US,-0.0011087505273064124,0.0008337074791896215,0.0003845115480756722
1981-01-01,US,-0.0010523671885165342,0.000461434575290548,0.00021074236269436053
1981-04-01,US,-0.0007469508852153695,9.692390351609403e-05,0.0003228951473683572
1981-07-01,US,0.0016954803931907847,0.0001074446381101879,0.0010864687998909106
1981-10-01,US,0.001965375501590927,0.0007097014268050705,0.0024390472127101825
1982-01-01,US,0.003623123619625801,0.0017559529297641041,0.0038659407507010413
1982-04-01,US,0.003468885567256663,0.002718793878748571,0.0049775911535500095
1982-07-01,US,0.004434557712176712,0.002943112858484337,0.00545489316218023
1982-10-01,US,0.0063698683685995405,0.0020514129884149357,0.005104699911901739
1983-01-01,US,0.002526774252170405,0.00024462014157689005,0.0038498992496157902
1983-04-01,US,0.0020322509108039455,-0.0017344593819099974,0.002040219586987496
1983-07-01,US,0.0011026946585124264,-0.002995498658165341,0.0005173739061397342
1983-10-01,US,-0.0004327683475082722,-0.0030131470358649853,0.00022875170020814073
1984-01-01,US,-0.0006747011342262965,-0.0019142812756656885,0.001307146761382022
1984-04-01,US,0.004181603751608698,-0.0003482495753490758,0.0029509382801011508
1984-07-01,US,0.002525275451445985,0.000950181321611912,0.004165878437941112
1984-10-01,US,0.005815829604387979,0.0015805437647117143,0.004406768993985538
1985-01-01,US,0.002064203552383681,0.001597253599343318,0.0038742475476560845
1985-04-01,US,0.002024699743877534,0.0013064249237854791,0.0031114541151231467
1985-07-01,US,0.0005463305000956709,0.0009633063250272522,0.0024681570155470067
