date,country,method,trend,cycle
1971-10-01,US,hamilton_h4,7.668015326820406,-0.009243326820405962
1972-01-01,US,hamilton_h4,7.666268674232007,-0.00018267423200679644
1972-04-01,US,hamilton_h4,7.67058077071715,-0.00012377071714997356
1972-07-01,US,hamilton_h4,7.68089505572622,0.0002749442737801644
1972-10-01,US,hamilton_h4,7.686228166529597,0.005549833470403165
1973-01-01,US,hamilton_h4,7.692555415868641,0.006951584131358324
1973-04-01,US,hamilton_h4,7.697034337353818,0.01407166264618187
1973-07-01,US,hamilton_h4,7.707874318883537,0.012106681116462958
1973-10-01,US,hamilton_h4,7.7181461205556126,0.005806879444387292
1974-01-01,US,hamilton_h4,7.724412467729762,0.008029532270238171
1974-04-01,US,hamilton_h4,7.736193448438288,-0.0002834484382887581
1974-07-01,US,hamilton_h4,7.744959993207219,0.0012800067927809522
1974-10-01,US,hamilton_h4,7.748266417625162,0.0048875823748382174
1975-01-01,US,hamilton_h4,7.757750216286343,0.0018917837136571691
1975-04-01,US,hamilton_h4,7.761493855177732,0.002653144822268416
1975-07-01,US,hamilton_h4,7.771432533508489,0.004005466491511456
1975-10-01,US,hamilton_h4,7.7783580006995825,0.003610999300417639
1976-01-01,US,hamilton_h4,7.783725659712443,0.0001713402875562764
1976-04-01,US,hamilton_h4,7.788802211886268,-0.0038582118862677817
1976-07-01,US,hamilton_h4,7.800318487291606,-0.009642487291605661
1976-10-01,US,hamilton_h4,7.806249966216917,-0.010877966216916946
1977-01-01,US,hamilton_h4,7.807212337617538,-0.009180337617538115
1977-04-01,US,hamilton_h4,7.809645539890552,-0.009153539890552231
1977-07-01,US,hamilton_h4,7.816367017415928,-0.0024010174159281306
1977-10-01,US,hamilton_h4,7.820604399196675,-0.0014783991966753618
1978-01-01,US,hamilton_h4,7.822354035679934,0.0016259643200653429
1978-04-01,US,hamilton_h4,7.82518043998063,0.0025025600193702147
1978-07-01,US,hamilton_h4,7.839058769163785,-0.0031897691637849945
1978-10-01,US,hamilton_h4,7.842755196778948,0.0030438032210522437
1979-01-01,US,hamilton_h4,7.846243577564133,0.005381422435867478
1979-04-01,US,hamilton_h4,7.851500883647634,0.003924116352366447
1979-07-01,US,hamilton_h4,7.859808002115107,-0.0006840021151068854
1979-10-01,US,hamilton_h4,7.869311499787117,-0.0017444997871169932
1980-01-01,US,hamilton_h4,7.873848875763808,0.0022961242361922984
1980-04-01,US,hamilton_h4,7.877622328058509,0.006206671941491493
1980-07-01,US,hamilton_h4,7.8822634208872255,0.005860579112774822
1980-10-01,US,hamilton_h4,7.891051488041592,0.004013511958407712
1981-01-01,US,hamilton_h4,7.898958570130338,0.00242542986966221
1981-04-01,US,hamilton_h4,7.90551593692557,0.0023930630744297687
1981-07-01,US,hamilton_h4,7.909708365412025,0.006805634587975007
1981-10-01,US,hamilton_h4,7.917109260251226,0.005765739748774479
1982-01-01,US,hamilton_h4,7.923657025098052,0.00688197490194753
1982-04-01,US,hamilton_h4,7.929599080323146,0.006694919676854205
1982-07-01,US,hamilton_h4,7.938172924806543,0.00488907519345716
1982-10-01,US,hamilton_h4,7.944079997659063,0.00660500234093675
1983-01-01,US,hamilton_h4,7.951450042969945,0.0009599570300551363
1983-04-01,US,hamilton_h4,7.9573356046646,2.7395335400193233e-05
1983-07-01,US,hamilton_h4,7.963937283264642,-0.0021762832646414765
1983-10-01,US,hamilton_h4,7.971684566259966,-0.006249566259965533
1984-01-01,US,hamilton_h4,7.972938982363636,-0.002651982363635952
1984-04-01,US,hamilton_h4,7.978337086540779,0.0017869134592212177
1984-07-01,US,hamilton_h4,7.983434003982736,-9.700398273615463e-05
1984-10-01,US,hamilton_h4,7.9864413139598165,0.004948686040183503
1985-01-01,US,hamilton_h4,7.991406764447299,0.0008932355527013769
1985-04-01,US,hamilton_h4,8.001172122101721,-0.0043411221017208845
1985-07-01,US,hamilton_h4,8.003386351907727,-0.0035433519077265885
1985-10-01,US,hamilton_h4,8.011128650851493,-0.006563650851493463
1986-01-01,US,hamilton_h4,8.012618405977046,-0.0037634059770450534
1986-04-01,US,hamilton_h4,8.016967752955034,-0.003663752955034738
1986-07-01,US,hamilton_h4,8.020885543611447,-0.007385543611446721
1986-10-01,US,hamilton_h4,8.02500539461761,-0.009118394617610548
1987-01-01,US,hamilton_h4,8.02930680354101,-0.005735803541009332
1987-04-01,US,hamilton_h4,8.033378060278752,-0.005042060278752203
1987-07-01,US,hamilton_h4,8.033533812214866,-0.0030748122148658297
1987-10-01,US,hamilton_h4,8.03635293816731,-0.003721938167309702
1988-01-01,US,hamilton_h4,8.044599285366985,-0.009316285366985255
1988-04-01,US,hamilton_h4,8.048190947158803,-0.006576947158803748
1988-07-01,US,hamilton_h4,8.049484126992114,-0.002183126992115092
1988-10-01,US,hamilton_h4,8.05246875795166,0.0017572420483400464
1989-01-01,US,hamilton_h4,8.055588366365196,0.002545633634804645
1989-04-01,US,hamilton_h4,8.061814021802881,0.001849978197117963
1989-07-01,US,hamilton_h4,8.066873561282915,0.003295438717085375
1989-10-01,US,hamilton_h4,8.07303250672709,0.0015264932729106562
1990-01-01,US,hamilton_h4,8.076776897039302,0.003936102960697241
1990-04-01,US,hamilton_h4,8.082314075929446,0.00172792407055411
1990-07-01,US,hamilton_h4,8.08912077384616,-0.0010627738461597147
1990-10-01,US,hamilton_h4,8.092943927020704,-0.000780927020704425
1991-01-01,US,hamilton_h4,8.099049290040503,-0.004907290040502943
1991-04-01,US,hamilton_h4,8.102462522483577,-0.002375522483577086
1991-07-01,US,hamilton_h4,8.10637111459164,-0.0026721145916397404
1991-10-01,US,hamilton_h4,8.110870393593036,-0.002031393593036057
1992-01-01,US,hamilton_h4,8.1126119141814,0.002439085818599196
