"period","response","shock","var_irf","bvar_irf"
0,"fed_funds","fed_funds",0.399241560498538,0.394908145112528
0,"fed_funds","gdp",0.000463701457895981,-0.00277116699776399
0,"fed_funds","inflation",0.042350317685055,0.0398792098753658
0,"fed_funds","unemployment",0,0
0,"gdp","fed_funds",0,0
0,"gdp","gdp",0.670451598807262,0.666999195187054
0,"gdp","inflation",0,0
0,"gdp","unemployment",0,0
0,"inflation","fed_funds",0,0
0,"inflation","gdp",0.076715462829012,0.0717105343779398
0,"inflation","inflation",0.495223432094815,0.493732581133676
0,"inflation","unemployment",0,0
0,"unemployment","fed_funds",-0.0586032524990275,-0.0588642824826256
0,"unemployment","gdp",-0.107044301808766,-0.101032819517697
0,"unemployment","inflation",0.0739128296252606,0.0701008206237775
0,"unemployment","unemployment",0.27023213586267,0.269154093143267
1,"fed_funds","fed_funds",0.326149580991497,0.325079957996949
1,"fed_funds","gdp",0.105865355436084,0.095918201650763
1,"fed_funds","inflation",0.0976613731807898,0.091211431000537
1,"fed_funds","unemployment",0.0130905772005939,0.0125569200378093
1,"gdp","fed_funds",-0.0136919372391416,-0.0136276091372177
1,"gdp","gdp",0.289062065048406,0.309744823667957
1,"gdp","inflation",-0.00726371583720775,-0.0108322533929483
1,"gdp","unemployment",0.00651337696371601,0.00896145539613835
1,"inflation","fed_funds",0.00164093092196836,-0.00019114471992859
1,"inflation","gdp",0.0931156867033379,0.0856822895303577
1,"inflation","inflation",0.253773323868579,0.270734981420778
1,"inflation","unemployment",0.018000861970506,0.0150548852089
1,"unemployment","fed_funds",-0.0282336580999502,-0.0304025538998391
1,"unemployment","gdp",-0.163696194766928,-0.154510978091756
1,"unemployment","inflation",0.041992066759575,0.039714366851668
1,"unemployment","unemployment",0.236021644554847,0.236356540877212
2,"fed_funds","fed_funds",0.265513762239616,0.267194558874998
2,"fed_funds","gdp",0.1341963616979,0.126271111682398
2,"fed_funds","inflation",0.111738522417037,0.105175914715366
2,"fed_funds","unemployment",0.0253577319344993,0.0245102561963121
2,"gdp","fed_funds",-0.0167182061215696,-0.0167620543485315
2,"gdp","gdp",0.117605941143651,0.136533973256713
2,"gdp","inflation",-0.00913211602132569,-0.0128211785050697
2,"gdp","unemployment",0.00784980971964975,0.0115144660811578
2,"inflation","fed_funds",0.00220975368074609,-0.000331006203176043
2,"inflation","gdp",0.0638828044432125,0.0622743088122796
2,"inflation","inflation",0.130703883529339,0.148328404942361
2,"inflation","unemployment",0.0255280689799188,0.0222311183177067
2,"unemployment","fed_funds",-0.00463816673161038,-0.00786029362541802
2,"unemployment","gdp",-0.170197151749681,-0.163052278793231
2,"unemployment","inflation",0.0301989323216162,0.0280264609340981
2,"unemployment","unemployment",0.205341291580641,0.206527335864213
3,"fed_funds","fed_funds",0.216300652990163,0.219675447306153
3,"fed_funds","gdp",0.127776610876075,0.123180354233671
3,"fed_funds","inflation",0.107776728490664,0.102052776240089
3,"fed_funds","unemployment",0.0350819427109502,0.034013312149149
3,"gdp","fed_funds",-0.0156152963982467,-0.0157295223189335
3,"gdp","gdp",0.0421422307873041,0.0543591183728601
3,"gdp","inflation",-0.00874130583862535,-0.0117135957724619
3,"gdp","unemployment",0.00719909823177647,0.010924948039805
3,"inflation","fed_funds",0.00294569419599521,5.97128263379909e-05
3,"inflation","gdp",0.0333889305001408,0.0361182561201081
3,"inflation","inflation",0.0682454094024306,0.0817638205627149
3,"inflation","unemployment",0.027551369667736,0.0246833278431047
3,"unemployment","fed_funds",0.0127553405496505,0.0088883349801603
3,"unemployment","gdp",-0.155801092243788,-0.151917308319035
3,"unemployment","inflation",0.0271052962163459,0.0245269516516647
3,"unemployment","unemployment",0.178737918190915,0.180404298675463
4,"fed_funds","fed_funds",0.176844897270352,0.180865919804645
4,"fed_funds","gdp",0.108115094813498,0.107035140839464
4,"fed_funds","inflation",0.0969571382374337,0.0931441797243328
4,"fed_funds","unemployment",0.0419495857714914,0.0412366387683853
4,"gdp","fed_funds",-0.0132121712795845,-0.012999597577099
4,"gdp","gdp",0.0102005935331504,0.0170888737630796
4,"gdp","inflation",-0.00754679268311834,-0.00933845098877683
4,"gdp","unemployment",0.00594292645829644,0.00957424303907996
4,"inflation","fed_funds",0.00389141966815701,0.000907391985932103
4,"inflation","gdp",0.0120178825151342,0.0162109748310291
4,"inflation","inflation",0.0367091191623495,0.0455646392277174
4,"inflation","unemployment",0.0268686428165195,0.0246185656916318
4,"unemployment","fed_funds",0.0249715363206386,0.0214003854570139
4,"unemployment","gdp",-0.13458830942982,-0.132998652379134
4,"unemployment","inflation",0.0272896931129455,0.024615014656111
4,"unemployment","unemployment",0.156023715483438,0.158390373977714
5,"fed_funds","fed_funds",0.145400641293861,0.149705521782796
5,"fed_funds","gdp",0.0855512488139047,0.086840563241018
5,"fed_funds","inflation",0.0844623881309599,0.0820737834133688
5,"fed_funds","unemployment",0.0462366687999944,0.0460220431217209
5,"gdp","fed_funds",-0.0106692810752158,-0.0105451634055699
5,"gdp","gdp",-0.00230148969239913,0.00110966350460772
5,"gdp","inflation",-0.00619474317419262,-0.00746963943647506
5,"gdp","unemployment",0.00464619463142674,0.00802972545998861
5,"inflation","fed_funds",0.00485276175013888,0.00208130462937172
5,"inflation","gdp",-0.000499092870991523,0.00358851243467498
5,"inflation","inflation",0.0208716805381783,0.0259363749303194
5,"inflation","unemployment",0.0249929542518771,0.0231189931024161
5,"unemployment","fed_funds",0.0330874801527295,0.0296445575135472
5,"unemployment","gdp",-0.112951064308644,-0.112755292812485
5,"unemployment","inflation",0.0283024569089573,0.0254449286807691
5,"unemployment","unemployment",0.136738637484895,0.139132159984187
6,"fed_funds","fed_funds",0.120382531095479,0.124720368741147
6,"fed_funds","gdp",0.064617455550628,0.0674457806904953
6,"fed_funds","inflation",0.0725273546228279,0.070960331540094
6,"fed_funds","unemployment",0.0484146892984236,0.048691463990969
6,"gdp","fed_funds",-0.00841082187565164,-0.00782713829940401
6,"gdp","gdp",-0.0063512345016716,-0.00514638341749423
6,"gdp","inflation",-0.0049478391143523,-0.00565157762997345
6,"gdp","unemployment",0.00351241944322655,0.0063005615284094
6,"inflation","fed_funds",0.00567294670408031,0.00295830863980931
6,"inflation","gdp",-0.00679811263098143,-0.00345303122215053
6,"inflation","inflation",0.0129507025908409,0.0154694457162063
6,"inflation","unemployment",0.0227080658368142,0.0212154898893007
6,"unemployment","fed_funds",0.0380681742648506,0.0347844541941477
6,"unemployment","gdp",-0.0934808927352894,-0.0940336126057503
6,"unemployment","inflation",0.0291343738599728,0.0263358597132146
6,"unemployment","unemployment",0.120364456917516,0.122751169420751
7,"fed_funds","fed_funds",0.100447973178959,0.104373690254732
7,"fed_funds","gdp",0.0469446057489669,0.050439732576451
7,"fed_funds","inflation",0.0619749423886315,0.060849042226254
7,"fed_funds","unemployment",0.0489715490100421,0.0497036213697509
7,"gdp","fed_funds",-0.00654761314283936,-0.00576748064040441
7,"gdp","gdp",-0.00690854941746711,-0.00683593860557228
7,"gdp","inflation",-0.00389220847487984,-0.00405599327807258
7,"gdp","unemployment",0.00259125131536776,0.00512193611161186
7,"inflation","fed_funds",0.00627655672336916,0.00386689758012887
7,"inflation","gdp",-0.00932283738621658,-0.00677385200994777
7,"inflation","inflation",0.00898438203651855,0.00988466206291053
7,"inflation","unemployment",0.0203976685980175,0.0188931298306549
